mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-5.788742,-3.200213,0.362226,-2.584681,0.940819,0.133152,-3.215240,1,0,0,0
-1.910111,0.775400,0.666116,-0.046395,-0.132190,-1.365592,-2.056193,0,0,0,0
-2.638741,1.112686,1.234443,-1.142930,0.646049,-0.516589,-2.203855,0,0,0,1
-2.420949,0.999479,0.799419,-1.430849,-0.413315,-0.726242,-2.155713,0,0,0,0
-4.043837,-0.502640,1.244178,-1.690020,0.549807,-0.702688,-3.109693,1,0,1,0
-0.628881,0.332707,-0.932619,1.101122,-1.468932,-0.283432,-1.862528,0,0,0,0
-0.412063,1.474091,-1.276037,-1.026489,0.005759,-0.886588,-1.264541,0,0,0,0
-2.526032,0.049562,-0.257656,-1.162457,-0.061217,-0.652285,-2.886947,0,0,0,0
-0.929444,0.998587,-2.139825,-2.272684,0.282739,-0.583781,-1.909232,0,1,0,0
-1.857556,0.493537,-0.650593,-1.959009,-2.306294,-0.077889,-2.211997,0,0,0,0
-0.937637,1.746492,-1.537807,-1.860217,0.665975,-0.750360,-1.291400,0,0,0,0
-1.550093,1.152517,-1.278951,-1.456680,1.225391,-0.964716,-2.013871,0,0,0,0
-0.831226,1.426615,-1.554965,-1.651170,0.748886,-0.846531,-1.594796,1,0,0,1
-0.106752,0.667199,-1.519462,0.799663,-1.388187,-0.603134,-1.453289,0,0,0,0
-1.271678,1.310303,-0.913955,-1.111649,0.131662,-0.860855,-2.167145,0,0,1,0
-1.407006,0.396360,-0.166594,0.218910,-1.607128,-1.165443,-2.309495,0,0,0,0
-2.732111,-0.232121,-0.121175,-1.559220,-0.439386,-0.307804,-2.945115,0,0,0,1
-2.299638,0.072749,0.279985,-0.666331,-1.663058,-0.801598,-2.608631,0,0,0,0
-3.158415,0.391061,1.110090,-1.460936,-0.522884,-0.498874,-2.797813,1,0,0,0
-2.419436,0.926379,1.146454,-0.581983,0.225824,-1.241122,-1.901305,0,0,0,0
-2.938511,0.621827,1.431220,-0.967157,0.678016,-0.307144,-1.011789,0,1,0,1
-0.209357,0.771498,-1.484455,0.577521,-1.330982,-0.789125,-1.729530,0,0,0,0
-0.519622,1.408083,-1.203218,-1.071457,-0.060785,-0.465476,-1.575370,0,0,0,0
-2.521153,0.076309,-0.029295,-0.782865,-0.144825,-0.600484,-2.884213,0,0,0,0
-1.178381,0.978170,-1.931674,-2.427481,0.166090,-0.814197,-1.881564,0,0,1,0
-1.901523,0.597402,-0.071331,-1.482930,-2.414719,-0.546289,-2.192463,0,0,0,0
-0.861958,1.779626,-1.351638,-1.605839,0.475570,-0.856447,-1.198175,0,0,0,0
-1.798833,1.246847,-0.439138,-1.477881,0.807191,-1.254215,-2.030511,0,0,0,0
-0.357425,1.203916,-1.554523,-1.552488,0.133952,-0.800793,-1.028801,1,0,0,1
-0.247728,0.947435,-0.864998,0.899051,-1.546711,-0.559279,-1.407713,0,0,0,0
-0.579794,1.206075,-1.452971,-1.281582,-0.095907,-0.407258,-1.691914,0,1,0,0
-1.307927,0.495872,-0.310097,0.137470,-1.304572,-1.005450,-2.188189,0,0,0,0
-3.074318,0.051021,0.214106,-1.902416,-0.068012,-0.651828,-2.914964,0,0,0,1
-1.522586,1.048619,-0.242337,-0.611919,0.283460,-1.183989,-1.942531,0,0,0,0
-2.345092,1.313430,0.689106,-1.312980,0.938704,-0.731972,-2.186572,0,0,1,0
-2.392584,0.712875,0.079819,-1.843833,-0.540464,0.443764,-2.325570,0,0,0,0
-0.957765,0.945178,-3.704837,-4.705723,-0.284611,1.122337,0.772556,1,1,0,0
-0.120011,0.343608,-1.071048,-0.244752,-2.067091,-0.096753,0.023404,0,0,0,0
0.220535,1.729625,-2.250907,-2.236709,-0.008389,0.561387,1.132562,0,0,0,0
-0.701191,0.893701,-3.418312,-3.613706,-0.089955,0.096248,-0.436829,0,0,0,0
-0.633253,1.128723,-2.359367,-2.733390,0.232671,-0.666949,-1.405611,0,0,0,1
-1.676702,0.389549,-0.609720,-1.877849,-2.229402,-0.821839,-2.179276,0,0,0,0
-0.970280,1.535762,-1.497064,-1.691518,0.769325,-0.917995,-1.361942,0,0,0,0
-1.523225,1.109484,-1.295372,-1.559810,1.003327,-0.924631,-2.015072,0,0,0,0
-0.821230,1.396613,-1.565105,-1.694079,0.744418,-0.750533,-1.541253,1,1,0,0
-0.074593,0.679660,-1.646402,0.743888,-1.288952,-0.289612,-1.381590,0,0,0,0
-1.208874,1.391404,-1.062866,-1.309986,0.193480,-0.915355,-2.131639,0,0,1,0
-1.297335,0.521342,-0.414758,-0.092996,-1.501966,-1.148313,-2.236494,0,0,0,0
-1.768275,-0.530532,-1.012600,-2.150707,-0.590838,-0.040399,-1.507272,1,0,0,0
-1.342149,-0.060759,-0.532707,-1.711796,-1.341098,-0.976877,-1.576058,0,0,0,0
-0.951388,0.110839,-2.332227,-2.948925,-0.396416,0.788569,-1.314477,0,0,0,0
-0.932300,0.653933,-2.318619,-1.151219,2.170564,0.566669,-1.417786,0,0,0,0
-1.446341,0.612581,-1.723605,-1.965286,1.719542,-0.555140,-1.965898,0,0,0,1
-0.317186,0.694853,-1.894181,-1.846389,0.393174,-0.809329,-1.630387,0,0,0,0
-0.180151,1.080556,-1.833126,-1.592268,0.600312,-0.135567,-0.898729,0,0,0,0
-1.859602,-0.484963,-1.215505,-1.773350,2.001262,-0.566845,-2.324559,0,0,0,0
0.034027,-0.963630,-1.698398,-1.424768,-1.323556,0.577279,-1.778668,0,1,0,0
-0.534127,1.576663,-2.512923,-3.711759,0.513491,-0.650482,-0.061694,0,0,0,0
0.485605,1.256934,-3.612643,-2.236795,0.253729,1.008256,1.783349,0,0,0,0
-1.034868,2.542916,-1.941193,-3.599663,1.336171,0.346425,-1.311944,0,0,0,0
0.131919,-0.839089,-0.977055,-1.721102,-0.820297,-0.588872,-1.656076,0,0,1,0
-0.058025,1.447309,-3.243556,-0.963495,1.254298,-0.266355,-0.926793,0,0,0,0
0.543935,0.782955,-3.226572,-0.826327,0.486096,-0.513621,-0.176654,0,0,0,0
-0.402952,0.293244,-2.186101,0.265784,0.529065,-0.777320,-0.594188,0,0,0,0
-1.000191,0.498715,-0.043100,1.573934,1.239151,-0.758177,1.904159,1,0,0,1
-0.111075,1.259862,-1.110203,-0.086769,0.672408,-0.404163,0.725371,0,0,0,0
0.080745,-2.833109,0.011305,3.429073,-0.377838,1.978364,0.460835,0,1,0,0
-1.599907,0.985112,0.685041,-0.325822,0.094549,-0.686866,-0.328302,0,0,0,0
-2.038289,-1.227935,0.457461,0.050604,0.077850,-1.114155,-2.431838,0,0,1,1
0.321527,0.413350,-0.845502,1.893624,-0.849326,-0.121342,-0.187029,0,0,0,0
-0.545743,0.855426,-0.595185,0.356289,-0.121209,-0.852352,-0.822395,0,0,0,0
-0.567460,-0.472286,-1.801113,1.719762,1.752414,0.254316,-1.699376,0,0,0,0
-1.344495,1.050986,0.454923,-0.242189,2.053281,0.279395,-0.593444,0,0,0,1
-1.418556,-0.015086,0.929280,2.062720,1.110682,-0.166448,-1.130161,0,0,0,0
0.398364,-0.234964,-1.348838,1.678126,0.843229,10.496839,-0.356879,0,1,0,0
-0.902006,-2.731216,0.778237,1.944571,-0.589696,0.711224,0.405051,0,0,0,0
-0.916405,0.131995,0.019423,1.406647,1.155990,-0.625409,0.814832,1,0,1,0
0.411231,0.504256,-0.713869,1.954149,-1.145682,-0.686755,-0.331156,0,0,0,0
-0.553932,-0.102776,-0.628569,1.274829,-0.795010,-0.338132,-0.168873,0,0,0,0
-0.342933,-0.122928,-1.233400,1.455308,-0.013532,0.398575,-1.569572,0,0,0,0
-1.826329,0.598884,-0.564017,0.557945,2.855031,0.276454,-1.240441,1,0,0,0
-0.443513,-0.615664,0.830276,0.355515,0.162660,1.235013,-1.276275,0,0,0,0
-0.377926,-2.381471,0.914116,2.153560,-1.192318,-0.491270,-1.397431,0,0,0,1
-0.775760,0.394938,-0.326400,0.340275,1.444933,0.339842,-0.013568,0,0,0,0
-2.989957,-0.010866,1.426190,0.160329,1.863785,-1.204457,-0.038018,0,1,1,0
0.331713,0.583413,-0.507510,1.940827,-1.019572,-0.536007,0.079479,0,0,0,0
-0.275929,0.656915,-0.428293,1.134181,-0.044912,0.037997,-0.170286,0,0,0,0
-2.320724,-0.510099,-0.409387,0.439783,0.752273,0.107855,-2.714655,0,0,0,0
-0.880174,1.070804,-0.263106,0.315633,0.931992,-0.788358,-0.824717,0,0,0,1
0.644203,0.592122,-1.929153,0.006695,-0.169176,0.280399,-0.367901,0,0,0,0
-0.092931,-2.422548,0.448020,2.138409,-0.741033,8.761061,-1.148061,0,0,1,0
-2.110520,-0.571134,-0.078329,0.623938,1.763539,-0.782977,0.763924,0,0,0,0
-0.528863,-0.299363,-0.263497,1.395866,1.203870,0.650225,0.981254,1,1,0,0
0.359634,0.251512,-0.821559,1.786224,-0.608569,-0.787567,0.123062,0,0,0,0
-0.399850,0.148004,0.049753,1.181267,0.104340,-0.177581,0.448827,0,0,0,0
-0.579042,0.212730,0.255368,1.723140,-0.422129,-0.482772,-0.212798,0,0,0,0
-0.343661,-3.045958,1.522431,1.514248,-1.096512,0.035185,-0.908375,1,0,0,0
-0.156434,1.054166,-0.314726,-0.088969,0.021235,-0.255938,1.117755,0,0,0,0
-1.279807,1.557819,0.783461,-0.573711,0.505778,0.411495,0.021024,0,0,0,1
-1.704148,1.110450,0.797808,-0.784027,-0.879920,-0.998436,-1.125322,0,0,0,0
-0.998631,-0.141161,-0.094609,-0.265390,-0.565598,-0.460416,-0.096326,1,0,1,0
0.313125,0.448107,-1.308869,1.507294,0.102370,-0.465840,-0.487407,0,0,0,0
0.205277,1.333616,-1.836845,-0.145036,0.759314,1.885453,-0.339885,0,0,0,0
-1.143091,0.327417,-1.089159,-0.684069,0.517881,-0.827736,-2.422054,0,0,0,0
-0.302883,1.072036,-0.718381,-0.370968,1.697444,0.086969,-0.965081,0,0,0,1
0.054081,1.098917,-2.860593,-0.617577,1.436714,1.003544,-0.289634,0,0,0,0
-1.119759,1.742757,-0.015779,-1.391430,0.775622,-0.549215,-1.349234,0,1,0,0
-0.755659,-1.001891,-1.313925,-0.489163,-0.458884,1.151238,0.925950,0,0,0,0
-0.424283,0.470255,-0.753048,0.700942,1.291761,-0.779073,0.361138,1,0,1,0
0.301523,0.334825,-0.817995,1.579419,-1.020049,-0.634607,-0.034227,0,0,0,0
0.082618,-0.437669,-2.037655,0.931243,1.993915,-0.192956,-1.227605,0,0,0,0
-0.227687,0.104895,-1.547975,1.497154,0.199805,-0.281722,-0.355113,0,0,0,0
-2.425658,0.186110,0.117231,0.093363,1.561260,-1.028037,-1.306584,0,1,0,0
0.202089,0.473011,-1.046703,0.735244,-0.313206,-0.000780,0.140800,0,0,0,0
-1.059904,0.135180,-0.495907,0.423569,0.406311,-0.615697,0.023005,0,0,1,0
-0.721608,-1.093849,-0.677656,2.189511,1.957572,0.417825,0.750722,0,0,0,0
-1.719061,0.931143,1.199704,0.758177,2.240420,0.202571,0.888431,1,0,0,1
0.408058,0.567181,-0.697730,1.234983,-1.251651,-0.282189,0.553406,0,0,0,0
0.458049,0.290717,-2.537218,-0.333830,-0.643649,0.787056,-0.299642,0,1,0,0
-0.114760,-0.277097,-0.919454,0.950258,0.335509,0.128223,-1.323988,0,0,0,0
-1.043145,0.981266,-0.204996,0.310808,2.103440,-0.406824,-0.567112,0,0,1,0
-0.024350,-0.249736,-0.723778,1.761378,0.606221,0.504751,0.986008,0,0,0,0
-0.117357,-0.022214,-0.919346,1.385728,1.581913,-0.714480,0.907400,0,0,0,0
0.492252,0.863421,-1.314487,0.430471,0.396650,-0.329674,1.036590,0,0,0,0
-0.058787,1.022526,-0.716596,0.560408,0.391244,-0.193761,1.094829,1,0,0,1
0.862838,0.067897,-0.918837,1.464591,-0.164071,-0.385664,-0.118538,0,0,0,0
-0.071344,0.628435,-0.214570,0.598896,0.666583,0.452163,-0.767281,0,0,0,0
-1.359678,-0.441098,-0.837096,1.422931,0.028034,-0.251248,-2.453956,0,0,0,0
-0.789259,-1.487410,-3.477235,-0.551906,0.637283,-0.477696,-1.842692,0,0,1,0
0.373521,0.891849,-1.329783,1.278226,0.245334,-0.203073,1.239166,0,0,0,0
-0.980914,1.101395,-0.427781,0.431044,2.416645,0.705317,0.599796,1,0,0,0
-1.434268,0.965411,0.328993,-0.546890,0.007838,-0.587209,-0.030959,0,0,0,0
-0.764186,-0.454542,0.003992,0.556606,-0.060965,1.072971,-1.140924,0,1,0,1
0.160512,0.340488,-0.474459,2.403909,-1.175301,-0.302562,-0.104182,0,0,0,0
-0.338543,0.500772,-1.127222,1.120211,0.208622,-0.589956,-0.156842,0,0,0,0
-1.303238,-2.465272,0.812722,0.405550,-0.933818,2.385324,-2.650805,0,0,0,0
-2.066974,0.993914,1.019469,0.099100,1.973265,-1.366645,-1.908283,0,0,1,0
-0.308554,-0.508520,-0.958462,2.436010,2.367675,-0.622166,-0.134413,0,0,0,0
-1.645141,-0.355650,0.636775,0.972605,1.714923,-0.834731,-1.576283,0,1,0,0
-0.059671,0.243306,-1.526750,-0.695005,-0.856976,0.233237,1.045197,0,0,0,0
0.282652,-0.217065,-0.549406,1.890996,1.768026,6.706854,0.391532,0,0,1,1
0.964439,0.241554,-0.642146,1.418125,-1.118473,0.318400,0.464787,0,0,0,0
0.018220,0.536954,-1.509617,-0.533335,-0.736395,-0.444334,-0.270368,0,0,0,0
0.120830,-0.006883,-0.302819,0.669300,-0.750976,0.438581,-0.984260,0,0,0,0
-1.685455,-0.024167,-0.264695,0.771167,1.068745,-0.970420,-1.277989,1,0,0,0
-1.769044,0.062055,0.535221,1.679400,0.804331,-0.359092,-1.742327,0,0,0,0
-0.564968,-0.290009,-0.856914,1.335173,2.595926,1.824949,-0.844975,0,0,1,0
-1.067256,-0.487120,0.231253,1.407946,1.236737,2.709466,0.512203,0,0,0,0
-1.918577,0.407206,0.321671,0.142499,2.869926,1.037047,0.252394,0,1,0,1
0.249090,0.611663,-0.497900,2.065354,-0.961420,-0.684366,-0.089949,0,0,0,0
-0.615313,0.841449,-0.443811,0.862246,0.441007,0.005625,-0.227598,0,0,0,0
-2.379780,-0.384081,-0.173272,-0.025637,-0.225808,-0.537093,-2.813246,0,0,0,0
-0.939038,0.516968,-0.200238,1.285050,1.395397,-0.089466,0.630576,0,0,1,0
0.141534,0.227341,-0.479246,1.385588,1.075174,1.343229,0.574377,0,0,0,0
0.243275,0.438146,-0.354095,-0.154502,0.683061,0.584628,-0.550199,0,1,0,0
-0.985294,-1.662405,1.559002,-0.638467,-1.677425,2.882187,0.448413,0,0,0,0
-0.263030,0.545589,0.061940,1.598109,0.674545,-0.310152,1.077299,1,0,0,1
0.851776,0.793908,-0.406461,0.789627,-1.538194,-0.455991,0.352438,0,0,0,0
0.330593,1.056164,-0.902371,0.249486,-0.131666,-0.663112,0.263129,0,0,0,0
0.125950,0.857185,-0.242309,0.577197,-0.949564,0.017668,0.195392,0,0,0,0
-0.534868,0.619782,-1.843177,-0.168212,1.199350,-0.290832,-1.859452,0,0,1,0
0.157892,0.760041,-1.159420,-0.250627,0.954226,-0.201300,0.965874,0,0,0,0
-0.350820,0.472427,0.078217,2.085356,1.484147,-0.236889,0.532444,1,0,0,0
-1.351760,0.803176,0.461214,-0.342871,0.133945,-0.851011,-1.071299,0,0,0,0
-0.212506,-0.864248,-1.511885,-0.688152,-0.697102,0.162195,0.601566,0,0,1,1
-0.420763,0.372323,-0.510621,2.291812,-0.838978,-0.538830,-1.466275,0,0,0,0
-0.164999,-0.281533,-0.497852,2.329116,1.959696,0.620620,0.462095,0,0,0,0
-0.389779,-0.657080,-1.117639,1.286203,0.716679,0.096960,-0.361804,0,0,0,0
-1.297642,1.382697,-0.250887,0.490049,2.729317,-0.852752,-0.218550,0,1,0,0
-0.001063,0.430660,-1.002437,0.867241,0.409226,-0.547332,-0.153115,0,0,0,0
-1.844058,0.834432,0.656234,0.113049,2.033167,-1.271675,-1.581490,0,0,1,0
-1.195717,-0.825897,0.510120,0.581817,0.677424,0.052931,0.264077,0,0,0,0
-0.508477,0.567936,-0.090793,0.308065,2.069388,-0.518703,1.231870,1,0,0,1
-0.463171,0.199648,-0.248981,2.228096,-0.439835,-0.788907,-1.429706,0,0,0,0
-0.224482,-0.341256,-1.044122,1.561092,1.579851,0.193410,0.328610,0,0,0,0
0.043201,-0.443105,-0.874545,2.191062,1.400830,-0.618438,0.496806,0,0,0,0
-2.491266,-0.363420,0.328881,0.986791,2.329853,-1.075567,-1.332264,0,0,1,0
0.382053,0.721209,-0.854731,0.619360,0.579376,-0.302720,0.420423,0,0,0,0
-0.211987,1.109855,-0.396251,0.569961,-0.325019,-0.699982,-1.179959,0,0,0,1
0.398761,-1.449296,0.750804,1.731967,-2.705718,0.111988,0.347312,0,0,0,0
-0.412922,0.609909,0.789877,-0.397731,0.292386,-0.788397,0.014969,1,1,0,0
0.392321,0.687096,-0.557929,1.656274,-1.054591,-0.585249,0.341635,0,0,0,0
0.489537,0.368010,-1.274592,1.167176,0.493318,-0.525552,0.468327,0,0,1,0
-0.181584,0.110564,-1.062228,0.765913,0.664467,-0.765471,-0.513878,0,0,0,0
-0.001080,-2.568317,0.867504,0.667731,-1.110747,-0.388649,-0.602649,1,0,0,0
0.819490,0.269559,-0.287914,0.746449,0.526775,0.368782,1.045660,0,0,0,0
0.580285,0.050175,-0.625289,0.917894,0.436629,-0.782428,0.118441,0,0,0,0
0.685919,-0.317127,-0.573310,0.567649,0.658562,-0.252778,0.233415,0,0,0,0
0.559223,0.635799,0.113351,-0.035704,1.082549,0.699477,1.241750,0,0,1,1
0.428522,0.332351,-0.042033,1.460459,-0.309122,-0.466015,0.753365,0,0,0,0
0.873835,-0.145974,-1.109453,1.216417,0.675672,0.280050,0.150325,0,0,0,0
0.780852,-0.699806,-0.277331,0.767773,0.570929,-0.242622,-0.576451,0,0,0,0
0.367848,-1.059817,0.042690,1.112601,-0.989914,-0.761459,-1.557547,1,1,0,0
0.358117,-0.574173,0.962719,1.011299,0.332410,-0.372039,0.982859,0,0,0,0
0.370059,-0.082028,0.429679,0.083184,-0.634664,-0.414546,-0.874678,0,0,0,0
0.238102,-0.394576,0.632455,-0.090532,-0.536107,-0.313757,-1.240200,0,0,1,0
0.564312,-0.537009,0.408300,-0.073536,1.015216,-0.275740,-0.358554,0,0,0,0
-0.205596,-0.085383,1.639866,0.055142,0.390913,-0.351714,0.642539,0,0,0,0
0.164309,0.229791,0.955067,-0.103708,-0.081970,-0.047098,0.350525,1,0,0,0
0.676934,-0.875264,0.668456,-0.066674,0.007002,-0.054179,-0.072332,0,0,0,0
0.354127,-0.083604,0.837510,-0.403300,-0.064378,-0.183658,1.062861,0,0,0,0
0.631240,-1.136615,0.124674,0.129389,-0.027231,0.001663,0.022811,0,0,0,0
0.140576,0.307279,0.582732,-0.185822,-0.563131,-0.449722,-0.429192,0,0,0,0
-0.152752,0.880995,0.757994,-0.272480,-0.055120,-0.473933,0.248580,0,0,0,0
1.050170,-1.695575,2.209503,-0.600395,-1.968780,-0.240781,0.362099,0,0,0,1
0.591694,-0.482075,0.865145,-0.720153,-0.880280,0.374395,1.184028,0,0,0,0
1.045690,-1.545214,2.139519,-1.394614,-0.790245,-0.007305,-0.501680,0,1,0,0
0.648424,0.044573,0.649254,-0.961012,-0.415825,-0.103096,0.330483,0,0,0,0
0.814383,0.271667,0.007876,-1.258628,-0.319257,0.072591,0.116831,0,0,1,0
0.998597,-1.510071,1.070919,1.646552,-2.507463,1.268012,0.539499,0,0,0,0
-0.150469,0.389964,1.346161,-0.973131,-0.668799,-0.013508,-0.183516,0,0,0,0
-0.638897,1.419946,1.068841,-1.112736,-0.011068,-0.417349,0.558627,0,0,0,0
-0.507523,0.806620,1.879045,-0.785869,0.638974,-0.118961,1.001713,1,0,0,0
0.398183,-0.094600,0.973603,0.088139,-0.063238,-0.244028,1.274205,0,0,0,0
-0.319772,0.353537,1.634907,-0.566352,0.365139,-0.630708,-0.217753,0,0,1,0
-0.313770,0.070342,1.015501,-0.049772,0.599399,-0.012395,0.180625,0,0,0,0
-1.108159,0.839268,1.330713,-0.263909,0.709778,-0.477956,0.517048,0,1,0,0
0.518860,0.178072,0.950347,-0.349733,0.855546,0.348945,0.751844,0,0,0,0
0.320666,0.009130,0.525357,0.863733,1.211169,-0.486286,0.740132,0,0,1,0
-1.122022,1.474284,1.098809,-0.198166,1.696863,-0.238919,0.607099,0,0,0,0
-0.716631,0.690473,1.741480,-1.034293,1.942448,0.033184,0.059236,0,0,0,1
0.220742,0.477735,1.862303,-0.142829,0.186438,0.082295,1.357475,0,0,0,0
0.285444,0.635281,1.386331,-0.795368,0.322743,-0.050338,0.308436,0,0,0,0
0.536371,0.035109,1.171430,0.312042,-0.282977,-0.220543,0.174485,0,0,0,0
-0.349377,0.667761,1.303101,-0.747392,0.673768,-0.469736,-0.198233,1,1,0,0
0.546972,-0.792208,0.780696,1.076781,0.741702,0.129541,0.749102,0,0,0,0
0.883383,0.381901,-0.620760,-0.511863,0.255115,0.519407,0.236874,0,0,0,0
0.165480,0.172103,0.451022,-0.574007,-0.353630,-0.737876,-0.041622,0,0,1,0
-0.749733,0.205201,2.065792,-0.770717,0.777887,-0.304687,0.491206,0,0,0,0
-0.159154,-0.086268,1.882430,0.182788,-0.795836,0.386846,1.123921,0,0,0,0
0.723092,-2.263178,2.952414,0.856764,-1.758971,3.903597,0.232158,1,0,0,0
0.302336,-0.298024,1.041059,0.034128,0.202457,0.481307,0.875076,0,0,0,0
-0.385982,-0.125377,1.654963,-0.097520,0.215896,-0.566062,-0.533365,0,0,0,0
-0.238069,0.449320,2.220508,-0.501421,-1.126579,-0.003596,0.674827,0,0,0,0
-0.590682,0.325721,1.562653,-0.288820,0.587922,-0.116895,-0.222399,0,0,1,0
0.386845,-0.130113,0.430907,0.296139,-0.489639,0.574777,0.073487,0,0,0,0
0.523851,-1.883774,3.093484,-0.816583,-0.529240,0.581718,0.345182,0,1,0,0
0.328848,-0.172797,0.917347,0.472291,0.294381,0.801988,1.772906,0,0,0,0
0.533147,-0.205365,0.339103,0.185712,0.073596,-0.049004,0.376361,0,0,0,1
0.750386,0.199181,0.299538,0.921758,-0.779160,0.868671,1.225623,0,0,0,0
0.535061,-0.174691,-0.455359,-0.286107,-0.928199,-0.456363,0.361018,0,0,1,0
-0.473681,0.146688,0.517675,1.028961,0.309600,-0.755890,-1.358251,0,0,0,0
0.684882,-2.812228,2.304960,0.614990,-2.017361,1.986274,-0.456692,1,0,0,0
0.270181,-0.389499,0.940472,0.460905,0.530019,0.383283,1.080620,0,0,0,0
0.037631,-0.626392,1.350735,0.006477,1.095418,-0.569538,1.671025,0,1,0,1
0.381498,-0.501878,0.619476,1.222751,-0.970603,-0.021005,0.102401,0,0,0,0
0.950280,-1.620044,-0.564785,0.429490,0.284669,2.534013,-0.911195,0,0,0,0
0.599048,-0.374589,0.126843,-0.133154,0.482670,0.656536,0.383301,0,0,0,0
0.311736,-0.226080,0.529201,-0.226891,0.735614,0.127164,0.719917,1,0,0,0
0.147048,-0.447455,0.287226,0.281408,0.599021,0.269453,0.910525,0,0,0,0
0.056866,-0.255330,0.557402,0.133676,1.083453,-0.652555,1.326822,0,1,0,0
-0.241454,-0.105637,0.507697,-0.051827,1.372354,-0.542849,0.838308,0,0,0,0
-0.070651,-0.491264,0.442080,-0.058646,0.755927,0.449505,1.649425,1,0,1,0
0.683658,-0.849801,0.237246,1.141337,-0.409794,0.029287,0.333224,0,0,0,0
0.245838,-0.381202,0.150264,0.102515,0.428080,0.497003,-0.283877,0,0,0,1
0.098224,0.243342,0.247721,0.585074,-0.404260,0.092496,-0.916706,0,0,0,0
-0.923929,1.125804,0.522880,-0.299732,1.138517,-0.262337,-0.892647,0,1,0,0
