subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,spec_con0,spec_con1,spec_con2,spec_con3,spec_con4,spec_con5,zrc,lane0,lane1,lane2,lane3
0,-141.457870,131.680450,-48.066711,38.769318,-32.158440,1.305964,0.194715,12.219568,25.820898,21.246191,22.674874,21.965575,19.122276,0.024414,1,1,0,0
1,-55.499287,152.200348,-63.391449,66.596672,-5.054327,0.766319,0.243825,20.775866,7.969545,13.684611,14.891164,21.540724,16.226239,0.064453,0,0,0,0
2,-67.308006,146.287537,-57.015007,69.207947,-16.413061,0.829773,0.231768,17.332182,15.030064,9.898672,18.452448,16.741625,15.271520,0.060059,0,0,0,0
3,-69.466995,136.035995,-54.298172,80.580978,-11.242453,1.033319,0.223785,25.162054,8.561488,15.117194,14.294568,20.871140,14.791426,0.068848,0,0,0,0
4,-68.072968,143.717560,-54.072483,68.261139,-20.078560,1.178529,0.224480,20.527088,8.949340,11.340689,17.555880,22.936683,16.515339,0.058594,0,0,1,0
5,-73.258492,147.107330,-45.144798,67.695656,-13.969162,0.396619,0.253836,26.014777,9.715594,14.517412,17.470712,19.268757,14.726229,0.039062,0,0,0,0
6,-89.913345,158.401108,-51.178040,65.004295,-15.459703,0.730618,0.260681,18.733402,7.658948,18.289410,18.591789,14.877897,16.079385,0.045898,0,1,0,0
7,-69.685814,160.187332,-51.078777,61.016319,-14.243637,1.012537,0.270424,15.449439,12.371751,14.718486,21.172688,21.442484,16.349227,0.051270,0,0,1,0
8,-85.157066,157.592224,-50.801018,61.438438,-4.760961,0.722246,0.235668,17.097130,7.770630,13.469865,13.750513,20.641577,16.382426,0.044922,1,0,0,1
9,-44.379944,124.565880,-15.095632,38.060516,-14.100701,0.703125,0.333102,10.071934,11.049442,16.369093,7.518043,17.397586,17.277494,0.039551,0,0,0,0
10,-106.296394,170.786957,-35.050682,49.552704,-11.058385,0.491784,0.201685,15.643577,8.343399,13.661947,11.460452,23.033598,20.746429,0.039062,0,1,0,0
11,-100.918579,159.080780,-30.744461,42.099831,-5.656896,0.849414,0.212250,21.588182,7.182908,10.208316,16.720358,12.847920,19.087964,0.039551,0,0,0,0
12,-109.512512,152.992325,-29.192255,47.740280,-9.097853,0.658943,0.191079,16.236440,9.984799,19.480506,14.752867,15.863370,15.289462,0.038574,0,0,1,1
13,-56.723125,156.595566,-53.013161,40.078934,-12.809476,0.620595,0.239112,24.891304,6.075375,8.115604,16.706999,14.836977,16.967816,0.055176,0,0,0,0
14,-92.766548,176.858643,-52.204865,50.529167,1.146641,0.727859,0.237323,18.576602,10.145909,11.170249,19.248264,17.469472,16.740653,0.032227,0,0,0,0
15,-108.291435,176.780701,-55.170876,43.379799,-3.009072,0.821499,0.207566,25.499572,11.897149,19.865577,14.686435,16.631555,14.836753,0.034180,0,0,0,0
16,-105.653183,168.553009,-44.829407,40.692879,3.805693,0.958129,0.209105,17.676920,7.664433,13.456231,14.761498,18.678911,15.769120,0.041992,0,1,0,0
17,-86.882698,143.905869,-29.112896,32.360695,-9.826242,0.668824,0.211480,14.479885,6.633750,15.491652,13.068330,19.947881,14.024271,0.044434,0,0,0,0
18,-128.790543,178.935089,-51.039078,40.044579,6.395398,0.577578,0.191416,18.627934,12.637992,7.150442,13.240245,16.250978,16.900703,0.036133,0,0,1,0
19,-106.501366,179.114075,-53.157841,44.952408,-4.027208,0.689229,0.230374,18.822377,10.339535,12.933209,19.755533,19.301253,18.457744,0.035645,1,0,0,0
20,-108.567551,178.980484,-39.002731,45.914604,-4.102358,0.650719,0.211180,17.295416,9.274552,13.008284,15.132031,17.538122,18.576040,0.041992,0,1,0,0
21,-69.368881,117.508553,-0.221122,49.742386,-17.296593,0.482136,0.207276,14.522854,10.562439,13.928159,18.047281,25.218766,14.173817,0.072754,0,0,0,0
22,-132.524078,185.079163,-31.706600,49.365227,-0.853222,0.640279,0.209052,20.921228,11.478782,11.331306,15.393833,15.591205,18.764006,0.017578,0,0,0,1
23,-96.581879,148.562820,-13.964650,43.400723,-6.296661,0.778186,0.245345,15.950795,9.492536,10.050343,15.659026,20.386147,16.944220,0.025391,0,0,0,0
24,-138.404999,187.887436,-26.475296,44.332760,3.678526,0.718695,0.255104,16.620730,10.236465,16.313739,13.371287,20.308081,16.263447,0.019043,1,0,0,1
25,-62.464989,159.561798,-29.232698,40.902504,-7.533942,0.719748,0.295180,14.328954,9.097836,16.560742,12.021075,13.391199,19.683984,0.029785,0,0,0,0
26,-117.842552,191.402542,-42.764198,45.946129,4.417376,1.265849,0.217365,14.743409,8.359547,11.383717,15.352153,22.619902,18.858819,0.026855,0,0,0,0
27,-124.241707,186.929733,-45.330620,46.295242,3.242702,0.819537,0.207221,20.416822,9.378236,12.976615,15.058637,17.117200,20.235313,0.033203,0,0,0,0
28,-85.561745,127.177765,-16.904842,46.154343,-3.023351,0.558451,0.215775,18.720623,14.792397,12.974727,16.076233,16.479590,17.848402,0.070312,0,1,0,0
29,-56.511417,114.807991,-37.995872,61.556816,-24.713499,0.522900,0.197129,16.485070,10.135084,13.319718,14.683419,20.415434,16.826741,0.103516,0,0,0,0
30,-64.668816,123.422836,-21.473055,55.937775,-19.756523,0.699079,0.215419,20.828139,14.946308,15.374186,14.727539,14.430360,17.284390,0.065430,0,0,0,0
31,-85.629608,126.774948,-21.204323,46.651161,-1.485207,0.730210,0.186409,12.704248,9.390334,9.224062,15.558597,15.999921,16.746706,0.050293,0,0,0,0
32,-132.846451,152.902679,-17.466997,40.635071,-6.184975,0.743800,0.141644,14.257522,14.407493,24.969711,12.337741,13.782845,16.776375,0.025879,1,0,0,1
33,-85.416183,169.563202,-43.042931,46.860649,-2.713494,0.780480,0.205791,13.630874,5.964272,16.706569,27.151926,20.052197,20.755013,0.042480,0,0,0,0
34,-128.713150,204.603516,-57.910793,38.793449,14.168581,0.794060,0.196623,14.936614,10.684574,14.049999,11.730388,15.667103,15.762607,0.037109,0,0,0,0
35,-130.750290,194.684189,-46.126019,35.864059,16.315063,0.725734,0.175928,14.896958,7.758388,10.832879,12.362914,13.151170,18.274843,0.041992,0,0,0,0
36,-146.083527,184.460617,-45.609650,28.593548,9.129944,0.592334,0.143131,17.692307,10.600547,9.827855,18.398774,18.506279,16.714056,0.042969,0,1,0,0
37,-103.515984,155.115173,-30.883005,37.961239,-8.282356,0.488305,0.145983,35.241552,5.703563,13.058628,14.433183,16.825600,18.189744,0.045898,0,0,0,0
38,-141.909821,196.921448,-33.130302,34.942108,-3.628171,0.501536,0.173776,21.966821,10.059387,15.990257,18.669382,19.912897,16.101643,0.040039,0,0,1,0
39,-115.267319,173.820770,-53.523270,47.079750,9.955257,0.547734,0.192320,12.347401,9.484690,12.011132,13.234429,26.707625,18.777118,0.053711,1,0,0,0
40,-119.847160,194.931519,-51.364479,42.164398,9.095163,0.516504,0.212449,17.618173,10.007226,14.191817,16.765596,15.367597,19.748629,0.036621,0,1,0,1
41,-65.387909,137.733093,-15.710705,44.045479,-13.264014,0.848716,0.265118,16.861635,8.436628,12.319896,14.410086,20.517549,15.650493,0.038086,0,0,0,0
