subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-271.534424,139.355377,-63.995953,4.687505,15.392889,1.223928,0,0,0,0
1,-242.543518,130.367462,-89.233841,-5.851001,8.282420,1.018213,0,0,0,0
2,-207.832550,138.933014,-94.964645,11.840048,11.669739,1.424035,0,0,0,0
3,-197.315979,131.374710,-93.218605,12.593966,-10.195068,1.222908,0,0,0,0
4,-213.757568,149.094299,-86.064453,2.769000,5.541832,1.067791,0,0,0,0
5,-206.394775,155.865723,-79.993370,8.756616,2.943777,1.120780,0,0,0,0
6,-216.094666,140.218933,-90.821411,-2.974901,4.742385,1.078039,0,0,0,0
7,-216.059601,154.958252,-77.274811,2.838678,-6.274605,0.853936,0,0,0,0
8,-214.415970,132.145050,-97.168900,-6.855408,-7.157051,1.261057,0,0,0,0
9,-240.179443,168.057892,-58.672077,0.397101,16.158825,0.438307,0,0,0,0
10,-222.253830,158.015045,-76.994171,7.981184,12.156349,0.917522,0,0,0,0
11,-234.933197,158.093445,-69.380302,10.097212,20.298370,0.855979,0,0,0,0
12,-229.690063,152.252411,-72.167679,5.829762,9.532027,0.918829,0,0,0,0
13,-229.419479,164.006668,-66.376221,1.884150,8.693520,0.704387,0,0,0,0
14,-242.674606,164.123688,-59.184113,3.362298,16.394623,0.688686,0,0,0,0
15,-233.468369,169.832703,-60.828545,5.078337,19.030087,0.772139,0,0,0,0
16,-244.653076,159.950409,-55.014721,6.635243,18.639196,0.906312,0,0,0,0
17,-238.336807,149.753448,-64.582214,10.445595,10.806112,1.336917,0,0,0,0
18,-221.191315,130.714355,-76.855011,25.787708,10.721184,2.900511,0,0,0,0
19,-238.599762,142.589676,-72.080338,19.143974,25.100019,1.513659,0,0,0,0
20,-250.598145,148.441101,-62.996433,1.721411,19.722681,1.010285,0,0,0,0
21,-248.860733,164.777054,-52.194206,6.727038,23.806965,0.702270,0,0,0,0
22,-247.750031,166.829102,-53.804451,8.810842,31.948765,1.270409,0,0,0,0
23,-253.000931,162.517639,-41.986893,14.441629,21.622187,1.725754,0,0,0,0
24,-246.838562,174.426712,-45.236176,-1.489858,16.985775,1.203535,0,0,0,0
25,-236.070648,159.538727,-46.584053,12.715344,11.480524,1.032875,0,0,0,0
