mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,rms,lane0,lane1,lane2,lane3
-4.250040,0.074210,3.039017,0.967819,3.192830,0.170293,-2.819808,1,1,0,0
-2.434578,1.913494,1.406225,-1.010518,0.701215,-0.634537,-1.149501,0,0,0,0
-2.392269,2.285338,0.968209,-2.065271,0.536669,-0.124171,-0.702308,0,0,0,0
-2.521779,1.946581,0.859199,-1.867900,0.336442,-0.386942,-1.476084,0,0,0,0
-2.339502,1.814617,1.014235,-1.674771,0.690593,-0.768149,-1.485481,0,0,0,0
-2.013724,1.063006,1.046762,-2.154489,0.195881,0.938391,-1.342059,0,0,0,0
-2.394752,2.158080,0.399491,-2.700877,0.908317,0.013923,-0.973277,0,0,0,0
-2.210296,2.452887,0.646606,-2.369507,0.315443,-0.817716,-0.967945,0,0,0,0
-1.348594,1.924024,0.065572,-0.344546,0.187715,1.114841,-0.989430,0,0,1,1
-1.827415,2.156595,0.210186,-2.378480,-0.252146,-0.459848,-1.176459,0,0,0,0
-1.745695,2.008197,1.257132,-2.728324,0.970327,-0.483468,-1.161092,0,0,0,0
-1.323404,1.642296,0.784458,-2.003787,-0.218216,-0.719628,-0.874941,0,0,0,0
-1.845674,2.512643,1.040425,-2.601287,-0.038773,-0.398208,-1.109745,0,0,0,0
-1.503021,1.679548,0.358230,-1.934704,-0.212313,-0.699692,-1.322889,0,0,0,0
-1.673964,1.859774,0.793932,-1.853920,-0.597655,-0.064362,-1.305229,0,0,0,0
-1.782946,1.968537,0.625538,-2.192133,0.677140,-0.370630,-1.222318,0,0,0,0
-1.744009,1.957105,0.631980,-2.197910,0.209352,0.238712,-1.460654,0,0,0,0
-1.721195,1.753269,0.757212,-1.561259,-0.341731,-0.666022,-1.841233,0,0,0,0
-1.774270,1.681643,0.843886,-1.544114,0.657459,0.089227,-0.732369,0,0,0,0
-1.796184,2.077260,0.328293,-1.927563,-0.038457,-0.699216,-1.924731,0,0,0,0
-1.706534,1.663020,-0.315487,-2.173907,-0.144303,-0.472744,-1.437518,0,0,0,0
-1.918531,2.106655,-0.046904,-2.093193,0.045512,-0.225345,-1.490143,0,0,0,0
-1.914354,1.998474,0.015754,-2.103664,-0.087213,-0.773034,-2.042905,0,0,0,0
-1.762224,1.875255,0.348555,-1.866623,-0.561310,0.197021,-1.927193,0,0,0,0
-2.031976,1.900611,0.578214,-2.079919,0.064738,-0.426208,-1.498109,1,0,0,0
-1.913690,2.474559,0.112912,-2.117891,0.069281,-1.008534,-1.871051,0,0,0,0
-1.916924,2.107004,-0.338899,-2.501644,0.607339,-0.754255,-1.388749,0,0,0,0
-2.081117,1.953362,-0.585294,-2.755363,0.786867,-0.436148,-1.553102,0,0,0,0
-2.119283,2.529814,0.170573,-2.454565,1.473806,-0.766755,-1.947768,0,0,0,0
