subbeat_idx,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,onset,lane0,lane1,lane2,lane3
0,-127.587303,121.721672,-53.930828,-2.237272,-37.282341,1.036235,1,0,0,1
1,-113.693825,174.421753,-36.624748,9.141870,-24.044033,0.633229,0,0,0,0
2,-121.658356,157.858734,-31.938148,13.576172,-18.164841,0.779331,0,1,0,0
3,-158.747253,150.805786,-28.845802,13.870036,-19.069504,0.853614,0,0,0,0
4,-153.723953,154.580750,-39.244770,12.092774,-22.302128,0.800374,1,0,0,0
5,-143.527710,156.235535,-47.950348,-1.778769,-28.141029,0.863500,0,0,0,0
6,-144.600266,144.349609,-56.749550,7.959372,-21.268902,1.270808,0,0,1,1
7,-129.754913,173.174835,-41.420731,-0.572862,-28.247717,0.790596,0,0,0,0
8,-119.107483,150.665558,-44.321724,14.660637,-25.023117,1.038055,0,1,0,0
9,-103.696014,133.308624,-45.293537,-3.669938,-22.107752,0.927510,0,0,0,0
10,-112.735085,135.860748,-56.576160,12.859544,-18.940723,1.054458,0,0,1,0
11,-123.766922,136.964447,-53.432861,5.365904,-26.820820,1.011650,0,0,0,0
12,-109.145271,126.702560,-54.070904,7.686759,-24.983311,1.108094,1,0,0,1
13,-99.070435,160.413757,-48.654587,11.618924,-23.762066,0.559075,0,0,0,0
14,-100.008629,158.548859,-43.944260,2.425479,-24.088299,1.144018,0,1,0,0
15,-83.081818,138.794708,-48.379990,2.594760,-26.566374,0.490168,0,0,1,0
16,-77.866623,130.761292,-53.234509,2.951813,-29.836788,0.808733,1,0,0,0
17,-81.976204,128.338333,-66.089142,-2.200792,-28.963472,0.524737,0,0,0,0
18,-92.657982,133.814819,-75.459450,-8.515894,-35.606983,1.414471,0,1,0,1
19,-83.530182,162.196350,-51.292694,5.763938,-32.214775,0.438128,0,0,0,0
20,-84.635963,156.230255,-57.986092,4.418673,-42.026497,1.092508,0,0,1,0
21,-107.111130,155.547958,-62.191269,0.197241,-32.633495,0.458457,0,0,0,0
22,-102.705963,146.015045,-62.535934,-8.924387,-31.914097,0.935845,0,0,0,1
23,-83.101837,140.904175,-63.974400,-4.016300,-20.908806,0.624398,0,0,0,0
24,-98.508736,145.730103,-72.041412,-0.318467,-32.181694,0.723913,1,1,0,0
25,-82.679810,157.838440,-52.206734,-3.613454,-28.809891,0.548627,0,0,0,0
26,-89.578941,162.786835,-55.436470,2.130126,-24.161999,1.189057,0,0,1,0
27,-90.390282,146.533325,-51.471146,0.345851,-18.728573,0.832364,0,0,0,0
28,-85.161057,142.837265,-50.020081,-1.154435,-26.000118,0.643496,1,0,0,0
29,-104.612076,136.161652,-60.894058,-5.047845,-26.049650,0.629401,0,0,0,0
30,-108.165886,148.510040,-65.416748,-3.633607,-30.828417,1.168663,0,0,1,0
31,-101.303917,135.117981,-73.294922,4.681903,-33.276520,0.341418,0,1,0,0
32,-82.823692,132.127777,-71.726898,-10.613455,-32.581738,0.507997,1,0,0,1
33,-71.954643,161.889832,-51.872635,2.950423,-31.332088,0.588850,0,0,0,0
34,-85.398537,156.437347,-54.809940,-9.533474,-38.124443,0.893517,0,0,1,0
35,-89.072632,162.495239,-65.895805,-1.222786,-28.348686,0.669225,0,0,0,0
